meeting_file,meeting_title,meeting_date,councillor,status
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Diarmuid Devereux,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Donal Kenny,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Farrell Maura,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Fionntain O'Suilleabhain,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Frank Staples,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Gary Laffan,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,George Lawlor,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Jackser Owens,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Jim Ger,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Jim Lisa,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Joe Sullivan,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,John Fleming,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,John Hegarty,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,John O'Rourke,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Kathleen Codd-Nolan,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Leonard Kelly,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Michael Sheehan,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Michael Whelan,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Moore Mary,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Oliver Walsh,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Pat Barden,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Pip Breen,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Tom Forde,present
County-Council-Meeting-12.07.21-Minutes,County Council Meeting Minutes 12th July 2021,2021-07-12,Willie Kavanagh,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Anne Barbara,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Anthony Donohoe,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Bolger Murphy,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Breen Bridin,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Browne John,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Carthy Jackser,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Cathal Byrne,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Codd-Nolan Frank,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Connick Joe,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,David Hynes,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Devereux Oliver,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Fionnt Owens,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Fleming Andrew,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Forde Pip,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Ger Codd,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Hegarty Aidan,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,In Illeabh,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Jim Moore,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Kavanagh Jim,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Kelly Michael,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Kenny Kathleen,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Laffan Anthony,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Mary Farrell,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Maura Bell,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Mcdonald Diarmuid,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Murphy John,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,O'Rourke Tom,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Pat Barden,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Sheehan Willie,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Staples Leonard,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Sullivan Donal,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Walsh Gary,present
County-Council-Meeting-12.09.22-Minutes,County Council Meeting - 12th September 2022,2022-09-12,Whelan Lisa,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Aidan Browne,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Anthony Donohoe,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Bolger Moore,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Bridin Jim,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Buisness The,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Cathal Byrne,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Ceo Hse,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Concluded This,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,David Hynes,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Diarmuid Devereux,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Donal Kenny,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Fionntain O'Suilleabhain,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Fleming Andrew,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Frank Staples,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,George Lawlor,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Ger Carthy,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Jackser Owens,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Joe Sullivan,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,John Hegarty,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,John O'Rourke,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Kathleen Codd-Nolan,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Laffan Whelan,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Leonard Kelly,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Lisa Mcdonald,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Maura Bell,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Michael Oliver,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Michael Sheehan,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Murphy John,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Pat Barden,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Pip Breen,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Pyrite Mica,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,The Of,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Tom Forde,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Walsh Gary,present
County-Council-Meeting-13.06.22-Minutes,County Council Meeting - Minutes 13th June 2022,2022-06-13,Willie Kavanagh,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Aidan Browne,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Anthony Connick,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Anthony Donohoe,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Bolger O'Rourke,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Brid Murphy,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Carthy Staples,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Cathal Byrne,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,David Hynes,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Frank Michael,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Ger Codd,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Hegarty Andrew,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,In Illeabh,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Jackser Owens,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Jim Moore,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Kathleen Codd-Nolan,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Kenny Jim,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Laffan Lawlor,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Leonard Kelly,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Lisa Mcdonald,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Mary Farrell,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Michael Sheehan,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Pat Barden,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Pip Breen,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Sullivan Donal,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Tom Forde,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Walsh George,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Whelan Oliver,present
County-Council-Meeting-13.11.23-Minutes,County Council Meeting - 13th November 2023,2023-11-13,Willie Kavanagh,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Aidan Browne,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Andrew Bolger,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Anthony Donohoe,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Bell Mcdonald,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Cathal Byrne,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,David Hynes,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Donal Kenny,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Farrell Maura,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Fionntain O'Suilleabhain,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Gary Laffan,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Ger Carthy,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Jackser Owens,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Jim Lisa,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Joe Sullivan,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,John Fleming,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,John Hegarty,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,John O'Rourke,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Kathleen Codd-Nolan,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Leonard Kelly,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Michael Sheehan,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Michael Whelan,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Moore Mary,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Pat Barden,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Pip Breen,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Tom Forde,present
County-Council-Meeting-13.9.21-Minutes,County Council Meeting Minutes 13th September 2021,2021-09-13,Willie Kavanagh,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Bolger Murphy,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Brid Barbara-Anne,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Browne John,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Byrne Fionntain,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Cathal Codd,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Codd-Nolan Michael,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Connick Frank,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Devereux Joe,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Donohoe Oliver,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Forde Andrew,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Hegarty Pip,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Hynes Aidan,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Jackser Owens,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Jim Moore,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,John Fleming,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Kelly Jim,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Kenny Kathleen,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Laffan Anthony,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Lawlor Diarmuid,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Mary Farrell,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Maura Bell,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Mcdonald Anthony,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Murphy Tom,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,O'Rourke John,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,O'Suilleabhain David,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Pat Barden,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Sheehan Leonard,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Staples Donal,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Sullivan Gary,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Walsh George,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Whelan Lisa,present
County-Council-Meeting-14.06.21-Minutes,County Council Meeting Minutes 14th June 2021,2021-06-14,Willie Kavanagh,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Anne Barbara,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Anthony Connick,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Anthony Donohoe,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Bolger Murphy,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Breen Bridin,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Browne John,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Cathal Byrne,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Codd Carthy,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,David Hynes,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Diarmuid Devereux,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Donal Kenny,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Fleming Andrew,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Forde Pip,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Garry Laffan,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Hegarty Aidan,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,In Illeabh,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Jackser Owens,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Jim Ger,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Jim Moore,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Joe Sullivan,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Kathleen Codd-Nolan,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Leonard Kelly,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Lisa Mcdonald,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Mary Farrell,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Maura Bell,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Michael Sheehan,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Michael Whelan,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Murphy John,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,O'Rourke Tom,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Oliver Walsh,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Pat Barden,present
County-Council-Meeting-14.11.22-Minutes,County Council Meeting - 14th November 2022,2022-11-14,Willie Kavanagh,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Aidan Browne,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Andrew Bolger,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Anthony Connick,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Anthony Donohoe,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Barbara-Anne Murphy,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Bridin Murphy,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Codd Byrne,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,David Hynes,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Diarmuid Devereux,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Donal Kenny,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Fionntain O'Suilleabhain,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Gary Laffan,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,George Lawlor,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Jim Moore,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Jim Willie,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Joe Sullivan,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,John Fleming,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,John Hegarty,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,John O'Rourke,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Kathleen Codd-Nolan,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Kavanagh Cathal,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Leonard Kelly,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Lisa Mcdonald,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Mary Farrell,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Maura Bell,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Michael Sheehan,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Michael Whelan,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Pat Barden,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Pip Breen,present
County-Council-Meeting-14.12.20-Minutes,County Council Meeting 14.12.20 Minutes,,Tom Forde,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Aidan Browne,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Andrew Bolger,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Anthony Connick,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Anthony Donohoe,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Barbara-Anne Murphy,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Bridin Murphy,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Cathal Byrne,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,David Hynes,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Diarmuid Devereux,present
County-Council-Meeting-27.07.20-Minutes,County Council Meeting 27.07.2020 Minutes,2020-01-01,Donal Kenny,present
